ID_CLIENTE,SEXO,DATA_NASCIMENTO,PRIMEIRA_COMPRA
119, ,1900/01/01,2017/03/12
120, ,1900/01/01,2017/04/24
121, ,1900/01/01,2017/03/12
122, ,1900/01/01,2017/03/14
123, ,1900/01/01,2017/03/14
124, ,1900/01/01,2021/06/20
125,F,1994/05/06,2021/06/20
126,m,1990/04/07,2020/09/22
127,f,1997/08/27,2020/09/22
128,f,1976/02/19,2020/09/22
129,m,1981/05/05,2020/09/22
130, ,1900/01/01,2020/09/22
131,f,1993/10/20,2020/09/22
132,f,1979/07/17,2020/09/22
133, ,1990/03/27,2020/09/22
134, ,1900/01/01,2020/09/22
135,f,1965/12/07,2020/09/22
136, ,1900/01/01,2020/09/22
137,m,1973/08/02,2020/09/22
138,f,1992/02/11,2020/09/22
139,m,1979/07/19,2020/09/22
140,m,1977/11/29,2020/09/22
141, ,1900/01/01,2020/09/22
142,m,1979/11/13,2020/09/22
143, ,1900/01/01,2020/09/22
144,f,1950/05/06,2020/09/22
145, ,1900/01/01,2020/09/22
146, ,1900/01/01,2020/09/22
147, ,1900/01/01,2020/09/22
148,m,1981/04/26,2020/09/22
149,m,1978/12/09,2020/09/22
150,m,1972/06/08,2020/09/22
151, ,1900/01/01,2020/09/23
152,F,1979/04/13,2020/09/23
153, ,1900/01/01,2020/09/23
154,F,1984/01/28,2020/09/23
155,F,1973/08/12,2020/09/23
156,M,1988/11/18,2021/01/20
157,M,1980/11/16,2020/09/23
158, ,1900/01/01,1900/01/01
159, ,1991/06/06,2017/03/11
160, ,1900/01/01,2018/05/17
161, ,1900/01/01,2020/12/22
162, ,1900/01/01,1900/01/01
163, ,1900/01/01,1900/01/01
164, ,1900/01/01,2017/02/14
165, ,1900/01/01,1900/01/01
166, ,1900/01/01,2017/02/17
167, ,1900/01/01,2017/02/17
168, ,1900/01/01,2001/05/03
169, ,1900/01/01,2017/02/18
170, ,1900/01/01,2017/02/20
171, ,1900/01/01,1900/01/01
172, ,1900/01/01,2017/02/18
173, ,1900/01/01,2017/02/19
174, ,1900/01/01,2017/02/19
175, ,1900/01/01,2017/03/07
176, ,1900/01/01,2017/03/07
177, ,1900/01/01,2017/03/07
178, ,1900/01/01,2017/03/08
179, ,1900/01/01,2017/03/08
180, ,1900/01/01,2019/05/11
181, ,1900/01/01,2017/07/07
182, ,1900/01/01,2017/03/09
183, ,1900/01/01,2017/04/15
184, ,1900/01/01,2017/03/09
185, ,1900/01/01,2020/07/31
186, ,1900/01/01,2017/07/01
187, ,1900/01/01,2017/03/09
188, ,1900/01/01,2017/03/10
189, ,1900/01/01,2017/03/10
190,O,1900/01/01,2017/03/10
191, ,1900/01/01,2017/03/10
192, ,1900/01/01,2017/03/10
193, ,1900/01/01,2017/03/10
194, ,1900/01/01,2017/03/11
195, ,1987/04/21,2017/03/11
196, ,1900/01/01,2017/03/11
197, ,1900/01/01,2017/03/11
198, ,1900/01/01,2017/03/11
199, ,1900/01/01,2017/03/11
200, ,1900/01/01,2017/03/11
201, ,1900/01/01,2017/04/08
202, ,1900/01/01,2017/03/11
203, ,1900/01/01,2017/03/11
204, ,1900/01/01,2017/03/12
205, ,1900/01/01,2017/03/12
206, ,1900/01/01,2017/03/12
207, ,1900/01/01,2017/03/12
208, ,1900/01/01,2017/03/13
209, ,1900/01/01,2017/03/13
210, ,1900/01/01,2017/03/13
211, ,1900/01/01,2017/03/13
212, ,1900/01/01,2017/02/19
213, ,1900/01/01,2017/02/19
214, ,1900/01/01,2017/03/13
215, ,1900/01/01,2017/03/13
216, ,1900/01/01,2017/03/14
217, ,1900/01/01,2017/03/14
218, ,1900/01/01,2017/03/15
219, ,1900/01/01,2017/03/15
220, ,1900/01/01,2017/03/15
221, ,1900/01/01,2017/03/16
222, ,1900/01/01,2017/03/16
223, ,1900/01/01,2017/11/21
224, ,1900/01/01,2017/03/16
225, ,1900/01/01,2017/03/16
226, ,1900/01/01,2017/03/16
227, ,1900/01/01,2017/03/16
228, ,1900/01/01,2017/03/16
229, ,1900/01/01,2017/03/16
230, ,1900/01/01,2017/03/14
231, ,1900/01/01,2017/03/14
232, ,1900/01/01,2017/03/14
233, ,1900/01/01,2017/03/14
234, ,1900/01/01,2017/04/08
235, ,1900/01/01,2017/03/14
236, ,1900/01/01,2017/03/14
237, ,1900/01/01,2017/03/14
238, ,1900/01/01,2019/07/15
239, ,1900/01/01,2017/03/14
240, ,1900/01/01,2017/03/15
241, ,1900/01/01,2017/03/15
242, ,1900/01/01,2017/03/15
243, ,1900/01/01,2017/03/16
244, ,1900/01/01,2017/04/19
245, ,1900/01/01,2017/03/17
246, ,1900/01/01,2017/03/17
247, ,1900/01/01,2017/03/17
248, ,1900/01/01,2017/03/17
249, ,1900/01/01,2017/03/17
250, ,1900/01/01,2017/03/17
251, ,1900/01/01,2017/03/17
252, ,1900/01/01,2017/03/17
253, ,1900/01/01,2017/03/17
254, ,1900/01/01,2017/03/17
255, ,1900/01/01,2017/03/18
256, ,1900/01/01,2017/03/18
257, ,1900/01/01,2017/03/22
258, ,1900/01/01,2017/02/18
259, ,1900/01/01,2017/03/22
260, ,1900/01/01,2017/03/22
261, ,1900/01/01,2017/03/23
262, ,1900/01/01,2017/03/23
263, ,1900/01/01,2017/03/23
264, ,1900/01/01,2017/03/23
265, ,1900/01/01,2017/03/23
266, ,1900/01/01,2017/03/23
267, ,1900/01/01,2017/03/24
268, ,1900/01/01,2017/03/24
269, ,1900/01/01,2017/03/24
270, ,1900/01/01,2017/03/24
271, ,1900/01/01,2017/03/24
272, ,1900/01/01,2017/03/24
273, ,1900/01/01,2017/03/25
274, ,1900/01/01,2017/03/26
275, ,1900/01/01,2017/03/26
276, ,1900/01/01,2017/04/27
277, ,1900/01/01,2017/03/26
278, ,1900/01/01,2017/03/27
279, ,1900/01/01,2017/03/27
280, ,1900/01/01,2017/03/27
281, ,1900/01/01,2020/05/30
282, ,1900/01/01,2017/03/27
283, ,1900/01/01,2017/03/27
284, ,1900/01/01,2021/04/08
285, ,1900/01/01,2017/03/27
286, ,1900/01/01,2017/03/30
287, ,1900/01/01,2017/03/27
288, ,1900/01/01,2017/03/28
289, ,1900/01/01,2014/03/11
290, ,1900/01/01,2017/04/23
291, ,1900/01/01,2017/03/30
292, ,1900/01/01,2017/03/30
293, ,1900/01/01,2017/03/30
294, ,1900/01/01,2017/03/30
295, ,1900/01/01,2017/03/30
296, ,1900/01/01,2017/03/30
297, ,1900/01/01,2017/03/30
298, ,1900/01/01,2017/03/31
299, ,1900/01/01,2017/03/31
300, ,1900/01/01,2017/03/31
301, ,1900/01/01,2017/03/31
302, ,1900/01/01,2017/03/31
303, ,1900/01/01,2017/03/31
304, ,1900/01/01,2017/04/01
305, ,1900/01/01,2017/04/01
306, ,1900/01/01,2017/04/01
307, ,1900/01/01,2017/04/02
308, ,1900/01/01,2017/05/20
309, ,1900/01/01,2017/04/02
310, ,1900/01/01,2017/04/02
311, ,1900/01/01,2017/04/03
312, ,1900/01/01,2017/04/03
313, ,1900/01/01,2017/05/06
314, ,1900/01/01,2018/07/19
315, ,1900/01/01,2017/04/04
316, ,1900/01/01,2021/05/18
317, ,1900/01/01,2018/04/28
318, ,1900/01/01,2017/04/04
319, ,1900/01/01,2017/04/04
320, ,1900/01/01,2017/04/07
321, ,1900/01/01,2017/04/07
322, ,1900/01/01,2017/04/07
323, ,1900/01/01,2017/04/07
324, ,1900/01/01,2017/04/25
325, ,1900/01/01,2017/04/08
326, ,1900/01/01,2017/04/08
327, ,1900/01/01,2017/04/08
328, ,1900/01/01,2017/04/08
329, ,1900/01/01,2017/04/08
330, ,1900/01/01,2017/04/08
331, ,1900/01/01,2017/04/08
332, ,1900/01/01,2017/04/08
333, ,1900/01/01,1900/01/01
334, ,1900/01/01,2017/04/08
335, ,1900/01/01,2017/04/08
336, ,1900/01/01,2017/04/08
337, ,1900/01/01,2017/04/08
338, ,1900/01/01,2017/04/08
339, ,1900/01/01,2017/04/08
340, ,1900/01/01,2017/04/08
341, ,1900/01/01,2017/04/08
342, ,1900/01/01,2017/04/08
343, ,1900/01/01,2017/04/08
344, ,1900/01/01,2017/04/08
345, ,1900/01/01,2017/04/08
346, ,1900/01/01,2017/04/08
347, ,1900/01/01,2017/04/08
348, ,1900/01/01,2017/04/08
349, ,1900/01/01,2017/04/09
350, ,1900/01/01,2017/04/09
351, ,1900/01/01,2017/03/16
352, ,1900/01/01,2017/03/16
353, ,1900/01/01,2017/03/18
354, ,1900/01/01,2017/03/18
355, ,1900/01/01,2017/03/18
356, ,1900/01/01,2017/03/18
357, ,1900/01/01,2017/04/21
358, ,1900/01/01,2017/05/20
359, ,1900/01/01,2017/03/19
360, ,1900/01/01,2017/03/19
361, ,1900/01/01,2017/03/10
362, ,1900/01/01,2017/03/20
363, ,1900/01/01,2017/03/21
364, ,1900/01/01,2017/03/21
365, ,1900/01/01,2017/03/21
366, ,1900/01/01,2017/03/22
367, ,1900/01/01,2017/03/22
368, ,1900/01/01,2017/03/22
369, ,1900/01/01,2017/03/24
370, ,1900/01/01,2017/03/24
371, ,1900/01/01,2017/03/24
372, ,1900/01/01,2017/03/24
373, ,1900/01/01,2017/03/25
374, ,1900/01/01,2017/03/25
375, ,1900/01/01,2017/03/25
376, ,1900/01/01,2017/03/25
377, ,1900/01/01,2017/03/25
378, ,1900/01/01,2017/03/25
379, ,1900/01/01,1900/01/01
380, ,1900/01/01,2017/03/25
381, ,1900/01/01,2017/03/25
382, ,1900/01/01,2017/03/25
383, ,1900/01/01,2017/03/25
384, ,1900/01/01,2017/03/28
385, ,1900/01/01,2017/02/19
386, ,1900/01/01,2017/03/28
387, ,1900/01/01,2017/03/28
388, ,1900/01/01,2017/03/28
389, ,1900/01/01,2017/03/28
390, ,1900/01/01,2017/03/28
391, ,1900/01/01,2017/03/29
392, ,1900/01/01,2017/03/29
393, ,1900/01/01,2017/06/30
394, ,1900/01/01,2017/03/29
395, ,1900/01/01,2017/03/29
396, ,1900/01/01,2017/03/29
397, ,1900/01/01,2017/03/29
398, ,1900/01/01,2017/03/10
399, ,1900/01/01,2017/03/29
400, ,1900/01/01,2017/03/31
401, ,1900/01/01,2017/03/31
402, ,1900/01/01,2017/04/01
403, ,1900/01/01,2017/04/01
404, ,1900/01/01,2017/04/01
405, ,1900/01/01,2017/04/01
406, ,1900/01/01,2017/04/01
407, ,1900/01/01,2017/04/01
408, ,1900/01/01,2017/04/01
409, ,1900/01/01,2017/04/01
410, ,1900/01/01,2017/04/01
411, ,1900/01/01,2017/04/01
412, ,1900/01/01,2017/04/01
413, ,1900/01/01,2017/04/01
414, ,1900/01/01,2017/04/01
415, ,1900/01/01,2017/04/01
416, ,1900/01/01,1900/01/01
417, ,1900/01/01,2017/04/05
418, ,1900/01/01,2017/04/05
419, ,1900/01/01,2017/04/05
420, ,1900/01/01,2017/04/05
421, ,1900/01/01,2017/04/05
422, ,1900/01/01,2017/02/19
423, ,1900/01/01,2018/04/01
424, ,1900/01/01,2017/04/06
425, ,1900/01/01,2017/04/06
426, ,1900/01/01,2017/04/06
427, ,1900/01/01,2017/04/07
428, ,1900/01/01,2017/04/07
429, ,1900/01/01,2017/04/07
430, ,1900/01/01,2017/04/07
431, ,1900/01/01,2017/04/07
432, ,1900/01/01,2017/04/08
433, ,1900/01/01,2017/04/08
434, ,1900/01/01,2017/04/08
435, ,1900/01/01,2017/04/08
436, ,1900/01/01,2017/04/08
437,M,1900/01/01,2017/04/08
438, ,1900/01/01,2017/04/08
439, ,1900/01/01,2017/04/08
440, ,1900/01/01,2017/04/08
441, ,1900/01/01,2017/04/08
442, ,1900/01/01,2017/04/08
443, ,1900/01/01,2017/04/08
444, ,1986/07/18,2017/04/08
445, ,1900/01/01,2017/04/08
446, ,1977/03/07,2017/04/08
447, ,1900/01/01,2017/04/08
448, ,1900/01/01,2017/04/08
449, ,1900/01/01,2017/04/08
450, ,1900/01/01,2017/04/08
451, ,1900/01/01,2017/04/08
452, ,1900/01/01,2017/04/08
453, ,1900/01/01,2017/04/09
454, ,1900/01/01,2017/04/09
455, ,1900/01/01,2017/04/09
456, ,1900/01/01,2017/04/09
457, ,1900/01/01,2017/04/09
458, ,1900/01/01,2017/04/09
459, ,1900/01/01,2017/04/09
460, ,1900/01/01,2017/04/09
461, ,1900/01/01,2017/04/09
462, ,1900/01/01,2017/04/09
463, ,1900/01/01,2017/04/09
464, ,1900/01/01,2017/04/09
465, ,1900/01/01,2017/04/09
466, ,1900/01/01,2017/04/10
467, ,1900/01/01,2017/04/10
468, ,1900/01/01,2017/04/10
469, ,1900/01/01,2017/04/10
470, ,1900/01/01,2017/04/10
471, ,1900/01/01,2017/04/10
472, ,1900/01/01,2017/04/10
473, ,1900/01/01,2017/04/10
474, ,1900/01/01,2017/04/10
475, ,1900/01/01,2017/04/10
476, ,1900/01/01,2017/04/10
477, ,1900/01/01,2017/04/09
478, ,1900/01/01,2017/04/09
479, ,1900/01/01,2017/04/09
480, ,1900/01/01,2017/04/09
481, ,1900/01/01,2017/04/09
482, ,1900/01/01,2017/04/09
483, ,1900/01/01,2017/04/09
484, ,1900/01/01,2017/04/09
485, ,1900/01/01,2021/02/19
486, ,1900/01/01,2017/04/09
487, ,1900/01/01,2017/04/09
488, ,1900/01/01,2017/04/09
489, ,1900/01/01,2017/04/09
490, ,1900/01/01,2017/04/10
491, ,1900/01/01,2017/04/10
492, ,1900/01/01,2017/04/10
493, ,1900/01/01,2021/03/21
494, ,1900/01/01,2017/04/10
495, ,1900/01/01,2017/04/10
496, ,1900/01/01,2017/04/10
497, ,1900/01/01,2017/02/20
498, ,1900/01/01,2017/04/10
499, ,1900/01/01,2017/04/11
500, ,1900/01/01,2017/04/11
501, ,1900/01/01,2017/04/11
502, ,1900/01/01,2017/04/11
503, ,1900/01/01,2017/04/11
504, ,1900/01/01,2017/04/11
505, ,1900/01/01,2017/04/11
506, ,1900/01/01,2017/04/12
507,F,1900/01/01,2017/04/12
508, ,1900/01/01,2017/04/12
509, ,1900/01/01,2017/04/12
510, ,1900/01/01,2017/04/12
511, ,1900/01/01,2017/04/12
512, ,1900/01/01,2017/04/12
513, ,1900/01/01,2017/04/12
514, ,1900/01/01,2017/04/12
515, ,1900/01/01,2017/04/12
516, ,1900/01/01,2017/04/12
517, ,1900/01/01,2017/04/12
518, ,1900/01/01,2017/04/12
519, ,1900/01/01,2017/04/12
520, ,1900/01/01,2017/04/12
521, ,1900/01/01,2017/04/12
522, ,1900/01/01,2017/04/13
523, ,1900/01/01,2017/04/13
524, ,1900/01/01,2017/04/13
525, ,1900/01/01,2017/04/13
526, ,1900/01/01,2017/04/13
527, ,1900/01/01,2017/04/13
528, ,1900/01/01,2017/04/13
529, ,1900/01/01,2017/04/13
530, ,1900/01/01,2017/04/13
531, ,1900/01/01,2017/04/13
532, ,1900/01/01,2017/04/13
533, ,1900/01/01,2017/04/13
534, ,1900/01/01,2017/04/13
535, ,1900/01/01,2017/04/13
536, ,1900/01/01,2017/04/15
537, ,1900/01/01,2017/04/15
538, ,1900/01/01,2017/04/15
539, ,1900/01/01,2017/04/15
540, ,1900/01/01,2017/04/15
541, ,1900/01/01,2017/04/15
542, ,1900/01/01,2017/04/15
543, ,1900/01/01,2017/04/15
544, ,1900/01/01,2017/04/15
545, ,1900/01/01,2017/04/15
546, ,1900/01/01,2017/04/15
547, ,1900/01/01,2017/04/15
548, ,1900/01/01,2017/04/15
549, ,1900/01/01,2017/04/15
550, ,1900/01/01,2017/04/15
551, ,1900/01/01,2017/04/15
552, ,1900/01/01,2017/04/15
553, ,1900/01/01,2017/04/15
554, ,1900/01/01,2017/04/15
555, ,1900/01/01,2017/04/15
556, ,1900/01/01,2017/04/15
557, ,1900/01/01,2017/04/15
558, ,1900/01/01,2017/04/16
559, ,1900/01/01,2017/04/16
560, ,1900/01/01,2018/07/28
561, ,1900/01/01,2017/04/16
562, ,1900/01/01,2017/04/16
563, ,1900/01/01,2017/04/16
564, ,1900/01/01,2017/06/15
565, ,1900/01/01,2017/04/16
566, ,1900/01/01,2017/04/16
567, ,1900/01/01,2017/04/16
568, ,1900/01/01,2017/04/16
569, ,1900/01/01,2017/04/17
570, ,1900/01/01,2017/04/17
571, ,1900/01/01,2017/04/17
572, ,1900/01/01,2017/04/17
573, ,1900/01/01,2017/04/17
574, ,1900/01/01,2017/04/17
575, ,1900/01/01,1900/01/01
576, ,1900/01/01,2017/04/17
577, ,1900/01/01,2017/02/18
578, ,1900/01/01,2017/04/17
579, ,1900/01/01,2017/04/17
580, ,1900/01/01,2017/04/17
581, ,1900/01/01,2017/04/18
582, ,1900/01/01,2017/04/18
583, ,1900/01/01,2017/05/06
584, ,1900/01/01,2017/04/18
585, ,1900/01/01,2017/04/18
586, ,1900/01/01,2017/04/18
587, ,1900/01/01,2017/04/18
588, ,1900/01/01,2017/04/18
589, ,1900/01/01,2017/04/19
590, ,1900/01/01,2017/04/12
591, ,1900/01/01,2017/02/04
592, ,1900/01/01,2017/05/13
593, ,1900/01/01,2017/04/18
594, ,1900/01/01,2017/04/19
595, ,1900/01/01,2017/04/22
596, ,1900/01/01,2017/04/20
597, ,1900/01/01,2021/05/24
598, ,1900/01/01,2017/04/10
599, ,1900/01/01,2017/04/10
600, ,1900/01/01,2017/04/11
601, ,1900/01/01,2017/04/11
602, ,1900/01/01,2017/04/11
603, ,1900/01/01,2017/04/11
604, ,1900/01/01,2017/04/11
605, ,1900/01/01,2017/04/11
606, ,1900/01/01,2017/04/12
607, ,1900/01/01,2017/04/12
608, ,1900/01/01,2017/04/12
609, ,1900/01/01,2017/04/12
610, ,1900/01/01,2017/04/12
611, ,1900/01/01,2017/04/12
612, ,1900/01/01,2017/04/12
613, ,1900/01/01,2017/04/12
614, ,1900/01/01,2017/04/12
615, ,1900/01/01,2017/04/12
616, ,1900/01/01,2017/04/12
617, ,1900/01/01,2017/04/12
618, ,1900/01/01,2017/04/29
619, ,1900/01/01,2017/04/12
620, ,1900/01/01,2017/04/12
621, ,1900/01/01,2017/04/12
622, ,1900/01/01,2017/04/12
623, ,1900/01/01,2017/04/12
624, ,1900/01/01,2017/04/13
625, ,1900/01/01,2017/04/13
626, ,1900/01/01,2018/08/07
627, ,1900/01/01,2017/04/13
628, ,1900/01/01,2017/04/13
629, ,1900/01/01,2017/04/13
630, ,1900/01/01,2017/04/13
631, ,1900/01/01,2017/04/13
632, ,1900/01/01,2017/04/13
633, ,1900/01/01,2017/04/13
634, ,1900/01/01,2017/04/13
635, ,1900/01/01,2017/04/13
636, ,1900/01/01,2017/04/13
637, ,1900/01/01,2017/04/13
638, ,1900/01/01,2017/04/13
639, ,1900/01/01,2017/04/13
640, ,1900/01/01,2017/04/13
641, ,1900/01/01,2017/04/13
642, ,1900/01/01,2017/04/15
643, ,1900/01/01,2017/04/15
644, ,1900/01/01,2017/04/15
645, ,1900/01/01,2017/04/15
646, ,1900/01/01,2017/04/15
647, ,1900/01/01,2017/04/15
648, ,1900/01/01,2017/04/15
649, ,1900/01/01,2017/04/15
650, ,1900/01/01,2017/04/15
651, ,1900/01/01,2017/04/15
652, ,1900/01/01,2017/04/15
653, ,1900/01/01,2017/04/15
654, ,1900/01/01,2017/04/15
655, ,1900/01/01,2017/04/15
656, ,1900/01/01,2017/04/15
657, ,1900/01/01,2017/04/16
658, ,1900/01/01,2017/04/16
659, ,1900/01/01,2017/04/16
660, ,1900/01/01,2017/04/16
661, ,1900/01/01,2017/04/16
662, ,1900/01/01,2017/04/16
663, ,1900/01/01,2017/04/16
664, ,1900/01/01,2017/04/16
665, ,1900/01/01,2017/04/16
666, ,1900/01/01,2017/04/16
667, ,1986/07/05,2017/04/16
668, ,1900/01/01,2017/04/16
669, ,1900/01/01,2017/04/16
670, ,1900/01/01,2017/04/16
671, ,1900/01/01,2017/04/16
672, ,1900/01/01,2017/04/16
673, ,1900/01/01,2017/04/17
674, ,1900/01/01,2017/04/17
675, ,1900/01/01,2017/04/19
676, ,1900/01/01,2017/04/19
677, ,1900/01/01,2017/05/14
678, ,1900/01/01,2017/04/18
679, ,1900/01/01,2017/04/18
680, ,1900/01/01,2017/04/18
681, ,1900/01/01,2017/04/18
682, ,1900/01/01,2017/04/18
683, ,1900/01/01,2017/04/18
684, ,1900/01/01,2017/04/18
685, ,1900/01/01,1900/01/01
686,F,1900/01/01,2017/04/18
687, ,1900/01/01,2017/04/18
688, ,1900/01/01,2017/04/22
689, ,1900/01/01,2017/04/20
690, ,1900/01/01,2017/04/23
691, ,1900/01/01,2017/04/20
692, ,1900/01/01,1900/01/01
693, ,1900/01/01,2017/04/19
694, ,1900/01/01,2017/04/19
695, ,1900/01/01,2017/04/19
696, ,1900/01/01,2017/04/19
697, ,1900/01/01,2017/04/19
698, ,1900/01/01,1900/01/01
699, ,1900/01/01,2017/04/19
700, ,1900/01/01,2017/04/19
701, ,1900/01/01,2017/04/20
702, ,1900/01/01,2017/04/20
703, ,1900/01/01,2017/04/20
704, ,1900/01/01,2017/04/20
705, ,1900/01/01,2017/04/20
706, ,1900/01/01,2017/04/20
707, ,1900/01/01,2020/10/21
708, ,1967/05/30,2017/04/21
709, ,1900/01/01,2017/04/21
710, ,1900/01/01,2017/04/21
711, ,1900/01/01,2017/04/21
712, ,1900/01/01,2017/04/21
713, ,1900/01/01,2017/04/21
714, ,1900/01/01,2017/04/21
715, ,1900/01/01,2017/04/21
716,M,1988/01/08,2017/04/21
717, ,1900/01/01,2017/04/21
718, ,1900/01/01,2017/04/20
719, ,1900/01/01,2017/04/20
720, ,1900/01/01,2017/04/20
721, ,1900/01/01,2017/04/20
722, ,1900/01/01,2017/04/20
723, ,1900/01/01,2017/04/20
724, ,1900/01/01,2017/04/20
725, ,1900/01/01,2017/04/20
726,M,1900/01/01,2017/04/23
727, ,1900/01/01,2017/04/20
728, ,1900/01/01,2017/04/20
729,M,1983/12/19,2017/04/20
730, ,1900/01/01,2017/04/20
731, ,1900/01/01,2017/04/20
732, ,1900/01/01,2017/04/21
733, ,1900/01/01,1900/01/01
734, ,1900/01/01,2017/04/21
735, ,1900/01/01,2017/04/21
736, ,1900/01/01,2017/04/21
737,F,1900/01/01,2017/04/21
738, ,1900/01/01,2017/04/21
739, ,1900/01/01,2017/04/21
740, ,1900/01/01,2017/04/21
741, ,1900/01/01,2017/04/21
742, ,1900/01/01,2017/04/21
743, ,1900/01/01,2017/04/21
744, ,1900/01/01,1900/01/01
745, ,1900/01/01,1900/01/01
746, ,1900/01/01,2017/04/21
747, ,1900/01/01,2017/04/21
748, ,1900/01/01,1900/01/01
749, ,1900/01/01,2017/06/02
750, ,1900/01/01,2019/04/07
751, ,1900/01/01,2017/04/21
752, ,1900/01/01,2017/04/21
753, ,1900/01/01,2021/02/28
754, ,1900/01/01,2018/05/18
755, ,1900/01/01,2017/04/29
756, ,1900/01/01,2017/04/22
757, ,1900/01/01,2017/04/22
758, ,1900/01/01,2017/04/22
759, ,1900/01/01,2017/04/22
760, ,1900/01/01,2018/07/20
761, ,1900/01/01,2017/04/22
762, ,1900/01/01,2017/04/22
763, ,1900/01/01,2017/04/22
764, ,1900/01/01,2017/04/22
765, ,1900/01/01,2017/04/22
766, ,1900/01/01,2017/04/22
767, ,1900/01/01,2017/04/22
768, ,1900/01/01,2017/04/22
769, ,1900/01/01,1900/01/01
770, ,1900/01/01,2017/04/22
771, ,1900/01/01,2017/04/22
772, ,1900/01/01,2017/04/22
