customerID;M-0;M-1;M-10;M-11;M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-19;M-2;M-20;M-21;M-22;M-23;M-24;M-25;M-26;M-27;M-28;M-29;M-3;M-30;M-31;M-32;M-33;M-34;M-35;M-36;M-37;M-38;M-39;M-4;M-40;M-41;M-42;M-43;M-44;M-45;M-46;M-47;M-48;M-49;M-5;M-50;M-51;M-52;M-53;M-54;M-55;M-56;M-57;M-58;M-59;M-6;M-60;M-61;M-62;M-63;M-64;M-65;M-66;M-67;M-68;M-69;M-7;M-70;M-71;M-8;M-9
0017-DINOC;45,595;45,595;45,595;45,595;45,3975;46,1875;46,1875;46,5825;45,7925;45,3975;45,3975;45,7925;45,2;45,2;45,2;45,3975;45,3975;45,2;45,3975;47,175;45,3975;45,595;46,1875;45,3975;45,2;45,7925;45,99;45,2;45,2;45,99;45,7925;45,2;45,595;45,7925;45,2;46,1875;45,2;45,2;45,3975;45,99;45,2;45,2;45,2;45,2;45,2;45,7925;46,385;45,3975;45,2;45,2;;;;;;;45,595;;;;;;;;;;;45,2;;;45,2;45,7925
0017-IUDMW;116,8;117,2715;117,2715;117,743;116,8;117,2715;118,2145;116,8;118,2145;116,8;120,1005;116,8;116,8;118,686;119,1575;117,743;117,743;117,743;116,8;116,8;118,2145;116,8;117,2715;118,686;118,2145;116,8;117,2715;116,8;117,2715;117,2715;118,2145;116,8;117,2715;116,8;117,2715;118,2145;117,2715;119,1575;117,2715;117,2715;116,8;116,8;117,743;116,8;117,743;118,2145;116,8;116,8;117,2715;116,8;118,2145;117,2715;116,8;117,743;118,2145;117,743;116,8;116,8;117,743;116,8;116,8;116,8;118,2145;118,2145;118,686;118,2145;117,2715;116,8;117,2715;116,8;116,8;117,2715
0018-NYROU;72,6625;70,165;;;;;;;;;;;70,2325;;;;;;;;;;;69,1525;;;;;;;;;;;69,2875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0019-EFAEP;100,9765;100,653;101,3;99,0355;99,6825;100,3295;101,3;101,3;101,3;101,3;100,9765;101,3;100,006;101,3;101,3;100,653;101,3;99,0355;100,3295;100,9765;101,3;101,3;101,3;100,653;100,653;100,653;100,3295;101,3;100,653;100,9765;101,3;101,3;101,3;101,3;100,9765;101,3;100,9765;101,3;100,9765;101,3;100,9765;101,3;101,3;101,3;101,3;101,3;100,3295;101,3;98,065;101,3;100,9765;100,3295;100,3295;100,9765;100,9765;101,3;99,359;99,6825;100,3295;101,3;101,3;101,3;101,3;100,9765;99,359;101,3;101,3;101,3;101,3;100,653;100,653;100,9765
0019-GFNTW;45,423;45,05;45,05;47,288;45,05;46,169;45,423;45,05;45,796;45,796;46,542;45,796;45,05;45,05;45,796;45,796;45,796;46,169;48,034;46,542;46,169;45,05;45,05;45,05;45,423;45,05;45,796;45,05;45,05;45,796;45,423;45,05;45,423;48,407;47,288;46,915;45,05;45,05;45,05;46,169;47,661;45,796;45,05;45,796;45,423;45,423;45,05;45,05;45,796;45,796;46,542;45,423;;;;;45,05;;;;;;;;;;;45,796;;;45,05;45,423
0020-INWCK;96,2615;96,2615;96,2615;95,75;95,75;96,2615;95,75;96,773;95,75;95,75;95,75;95,75;98,819;95,75;97,2845;97,796;97,2845;96,773;96,773;95,75;95,75;95,75;95,75;96,773;96,773;98,3075;95,75;95,75;95,75;95,75;95,75;95,75;96,2615;97,796;95,75;95,75;97,2845;96,2615;95,75;97,2845;97,2845;95,75;95,75;97,2845;95,75;96,773;95,75;96,2615;95,75;95,75;96,2615;95,75;98,3075;96,2615;96,2615;95,75;96,773;95,75;95,75;98,819;95,75;95,75;95,75;95,75;95,75;98,3075;98,819;96,2615;98,3075;;95,75;101,3765
0020-JDNXP;59,464;60,357;59,464;59,464;61,25;61,25;58,571;54,999;60,357;60,357;52,32;59,464;54,999;60,357;61,25;59,464;61,25;60,357;60,357;61,25;58,571;60,357;59,464;59,464;61,25;53,213;45,176;54,999;;;;;;;61,25;;;;;;;;;;;60,357;;;;;;;;;;;55,892;;;;;;;;;;;60,357;;;60,357;55,892
0021-IKXGC;72,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0022-TCJCI;62,7;62,7;62,7;60,3;59,7;62,4;61,8;62,7;61,8;62,1;60,9;62,7;60;62,1;62,7;61,8;62,4;62,7;61,8;62,1;62,4;62,7;62,4;62,1;61,8;61,2;62,7;60,6;62,7;62,1;61,8;62,7;62,7;62,1;62,4;61,8;62,7;62,7;61,5;62,7;;;;;;59,7;;;;;;;;;;;62,7;;;;;;;;;;;62,7;;;62,4;62,1
0023-HGHWL;25,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0023-UYUPN;25,2;27,052;27,515;25,2;26,126;25,663;26,126;25,2;27,052;25,663;26,126;26,126;25,2;26,589;25,663;26,126;25,663;26,126;25,663;27,515;25,2;25,663;26,126;25,2;25,2;25,2;26,589;27,052;27,515;26,126;25,663;28,904;26,126;25,2;27,052;26,589;25,2;26,126;29,367;25,663;25,663;27,978;26,126;25,2;25,663;25,663;;;;;;;;;;;25,2;;;;;;;;;;;26,126;;;25,663;25,663
0023-XUOPT;93,484;93,715;93,946;93,638;93,792;;;;;;;;91,713;;;;;;;;;;;93,407;;;;;;;;;;;93,869;;;;;;;;;;;93,484;;;;;;;;;;;93,407;;;;;;;;;;;93,792;;;93,638;93,715
0027-KWYKW;79,172;82,987;81,461;70,779;81,461;79,172;82,224;76,12;80,698;83,75;76,883;78,409;80,698;82,224;83,75;83,75;;;;;;;;82,987;;;;;;;;;;;76,883;;;;;;;;;;;83,75;;;;;;;;;;;83,75;;;;;;;;;;;82,987;;;73,068;82,987
0030-FNXPP;19,4975;17,923;;;;;;;;;;;19,7795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0031-PVLZI;17,8755;19,8955;;;;;;;;;;;20,249;;;;;;;;;;;18,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0032-PGELS;30,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0036-IHMOT;101,3625;101,3625;101,3625;103,2325;103,7;101,83;102,765;102,765;102,765;103,7;102,2975;103,7;103,7;102,2975;103,7;103,7;103,2325;102,2975;103,7;99,4925;100,895;103,7;103,7;103,7;101,83;101,83;101,3625;103,7;103,7;103,2325;103,2325;101,83;102,2975;103,7;103,2325;102,2975;103,7;103,2325;103,7;103,7;103,7;103,2325;102,2975;102,2975;102,765;103,2325;103,2325;103,7;103,2325;103,7;102,2975;;;;;;103,2325;;;;;;;;;;;103,2325;;;102,765;102,2975
0040-HALCW;20,4;20,4;20,29;20,4;18,64;20,4;20,4;19,74;20,4;20,4;20,4;20,29;20,4;20,29;20,29;20,4;20,18;20,29;20,29;20,07;20,4;19,96;20,18;20,29;20,18;19,3;20,4;19,63;20,4;20,07;20,4;20,4;20,4;20,18;19,96;20,18;19,96;20,4;20,18;20,4;20,4;20,29;20,29;20,4;19,96;19,85;20,4;20,29;20,29;20,18;;;;;;;20,4;;;;;;;;;;;19,74;;;20,29;20,18
0042-JVWOJ;18,845;16,2025;18,4675;18,845;19,6;18,4675;17,7125;18,845;19,6;19,6;19,2225;14,6925;16,58;13,9375;18,09;16,2025;16,9575;18,845;18,845;;;;;19,2225;;;;;;;;;;;19,6;;;;;;;;;;;17,335;;;;;;;;;;;19,6;;;;;;;;;;;19,6;;;19,6;17,335
0042-RLHYP;20,828;21,204;19,7;19,7;20,828;20,452;23,46;19,7;20,828;20,828;19,7;20,076;20,076;19,7;20,452;20,076;19,7;20,076;20,076;19,7;20,076;21,204;19,7;20,076;20,828;19,7;20,076;20,076;20,076;20,452;20,076;21,58;19,7;20,076;20,076;19,7;21,204;19,7;20,828;20,076;20,452;21,58;19,7;21,58;20,076;20,452;19,7;20,076;21,956;20,076;20,452;20,076;19,7;20,452;19,7;19,7;19,7;20,452;19,7;19,7;19,7;20,076;20,076;19,7;19,7;19,7;;20,452;;;19,7;20,076
0048-LUMLS;91,2;75,978;87,3945;81,052;89,9315;89,9315;82,3205;89,9315;87,3945;88,663;89,9315;91,2;87,3945;88,663;89,9315;86,126;89,9315;88,663;87,3945;87,3945;81,052;84,8575;91,2;89,9315;89,9315;91,2;91,2;89,9315;88,663;88,663;88,663;;;;87,3945;;;;;;;;;;;75,978;;;;;;;;;;;91,2;;;;;;;;;;;91,2;;;88,663;87,3945
0048-PIHNL;14,381;20,45;19,4385;20,45;17,4155;11,3465;20,45;13,3695;20,45;14,381;20,45;20,45;16,404;20,45;16,404;18,427;19,4385;19,4385;20,45;17,4155;14,381;20,45;17,4155;20,45;20,45;19,4385;15,3925;20,45;16,404;19,4385;20,45;20,45;19,4385;16,404;19,4385;18,427;20,45;19,4385;15,3925;20,45;19,4385;20,45;19,4385;18,427;;19,4385;;;;;;;;;;;17,4155;;;;;;;;;;;15,3925;;;20,45;14,381
0052-DCKON;127,774;115,8;115,8;136,7545;115,8;124,7805;118,7935;118,7935;118,7935;115,8;115,8;118,7935;115,8;118,7935;115,8;118,7935;130,7675;121,787;127,774;118,7935;127,774;118,7935;121,787;115,8;115,8;115,8;121,787;115,8;118,7935;124,7805;139,748;118,7935;121,787;121,787;121,787;115,8;118,7935;118,7935;118,7935;115,8;127,774;124,7805;115,8;121,787;115,8;118,7935;115,8;130,7675;115,8;121,787;115,8;115,8;118,7935;115,8;115,8;121,787;118,7935;115,8;127,774;115,8;121,787;115,8;127,774;;;;;121,787;;;121,787;121,787
0052-YNYOT;17,874;18,543;20,55;20,55;19,881;20,2155;20,55;19,212;19,5465;20,55;19,212;20,55;20,2155;20,2155;20,55;19,212;19,5465;20,55;20,55;19,5465;20,2155;20,55;20,55;19,5465;20,2155;20,55;20,2155;20,55;20,2155;20,2155;20,55;20,2155;19,881;19,212;20,2155;20,55;19,5465;20,55;20,55;19,881;20,55;19,5465;20,2155;20,55;20,2155;20,55;19,881;20,2155;19,5465;20,55;20,2155;20,2155;20,55;20,2155;20,2155;20,55;19,881;20,2155;17,205;20,2155;20,55;20,2155;20,55;19,881;;;;20,2155;;;18,543;20,55
0056-EPFBG;40,148;39,774;40,522;40,522;40,522;39,774;44,262;39,774;40,896;42,766;40,896;46,132;39,774;;;;;;;;;;;42,392;;;;;;;;;;;45,384;;;;;;;;;;;40,522;;;;;;;;;;;39,774;;;;;;;;;;;40,522;;;40,896;40,148
0057-QBUQH;25,0085;24,6425;24,6425;25,1;25,0085;24,8255;24,6425;24,6425;25,1;25,1;24,917;25,1;25,0085;24,917;25,1;24,917;25,0085;25,0085;24,917;25,1;25,0085;25,1;25,1;24,8255;24,917;24,8255;25,1;25,1;25,0085;24,917;23,9105;25,1;25,0085;24,917;25,1;24,917;24,917;24,2765;;;;;;;;24,6425;;;;;;;;;;;24,8255;;;;;;;;;;;24,6425;;;24,2765;25,0085
0058-EVZWM;90,418;90,006;92,066;90,418;90,006;90,418;90,006;90,212;89,8;90,006;89,8;90,006;89,8;90,212;90,212;90,624;90,83;90,624;90,212;90,006;90,212;90,006;90,212;89,8;89,8;90,006;89,8;90,212;90,212;91,036;89,8;89,8;89,8;90,006;89,8;89,8;90,006;90,212;89,8;91,036;90,212;90,212;90,212;90,418;90,624;89,8;89,8;90,212;89,8;90,212;89,8;;;;;;90,83;;;;;;;;;;;90,006;;;89,8;90,624
0060-FUALY;94,824;94,824;94,898;94,75;94,824;94,898;95,046;95,046;94,824;94,75;95,046;94,824;94,75;94,75;95,49;94,75;94,75;95,268;94,898;94,75;94,972;94,75;94,824;94,75;94,972;94,824;94,824;94,75;94,75;94,75;94,972;94,75;94,75;94,75;94,898;95,046;94,824;94,75;94,75;94,824;95,12;95,046;94,898;94,75;94,75;95,342;94,824;94,824;94,75;94,824;94,824;94,898;94,898;94,75;94,898;;95,046;;;;;;;;;;;95,046;;;94,898;94,824
0064-SUDOG;19,345;18,39;18,581;19,727;;;;;;;;;14,379;;;;;;;;;;;19,918;;;;;;;;;;;16,671;;;;;;;;;;;20,109;;;;;;;;;;;19,918;;;;;;;;;;;18,39;;;19,918;19,154
0064-YIJGF;73,425;66,45;74,5875;75,75;73,425;68,775;66,45;62,9625;74,5875;72,2625;74,5875;75,75;72,2625;75,75;68,775;69,9375;72,2625;69,9375;72,2625;46,6875;;;;74,5875;;;;;;;;;;;74,5875;;;;;;;;;;;74,5875;;;;;;;;;;;75,75;;;;;;;;;;;75,75;;;73,425;73,425
0067-DKWBL;48,066;43,034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0068-FIGTF;78,2;77,8755;76,253;78,2;76,902;78,2;77,2265;78,2;77,551;78,2;76,902;78,2;78,2;77,551;76,5775;76,5775;77,8755;74,6305;75,9285;75,2795;;;;76,902;;;;;;;;;;;78,2;;;;;;;;;;;75,604;;;;;;;;;;;73,008;;;;;;;;;;;77,2265;;;75,2795;78,2
0071-NDAFP;25,5;25,293;25,086;25,5;25,5;25,224;25,086;24,327;25,5;25,224;25,224;25,5;25,224;25,224;25,362;24,741;25,431;25,5;;;;;;25,5;;;;;;;;;;;25,017;;;;;;;;;;;25,362;;;;;;;;;;;25,086;;;;;;;;;;;25,362;;;24,741;25,086
0074-HDKDG;62,31;73,67;67,99;61,6;63,02;67,99;66,57;62,31;61,6;62,31;61,6;67,28;61,6;62,31;76,51;63,73;61,6;63,73;;;;;;62,31;;;;;;;;;;;62,31;;;;;;;;;;;63,73;;;;;;;;;;;63,02;;;;;;;;;;;64,44;;;64,44;63,02
0076-LVEPS;44,3745;45;41,8725;44,3745;41,8725;43,749;41,247;43,1235;43,749;43,749;45;42,498;44,3745;45;45;38,1195;43,1235;34,3665;45;40,6215;43,749;43,749;;43,749;;;;;;;;;;;43,749;;;;;;;;;;;34,992;;;;;;;;;;;44,3745;;;;;;;;;;;43,1235;;;45;43,749
0078-XZMHT;96,274;87,004;85,15;90,712;85,15;90,712;90,712;87,004;88,858;87,004;88,858;87,004;92,566;85,15;85,15;87,004;85,15;85,15;85,15;87,004;85,15;85,15;87,004;90,712;87,004;85,15;92,566;87,004;85,15;90,712;90,712;87,004;85,15;85,15;87,004;88,858;85,15;90,712;85,15;88,858;87,004;85,15;87,004;88,858;85,15;92,566;85,15;90,712;85,15;96,274;85,15;88,858;94,42;90,712;85,15;88,858;87,004;85,15;90,712;85,15;88,858;88,858;92,566;85,15;85,15;88,858;87,004;85,15;85,15;88,858;85,15;85,15
0080-EMYVY;51,5255;52,356;52,356;51,8275;51,601;51,601;;;;;;;51,5255;;;;;;;;;;;51,8275;;;;;;;;;;;53,1865;;;;;;;;;;;53,0355;;;;;;;;;;;51,8275;;;;;;;;;;;51,5255;;;51,9785;51,6765
0080-OROZO;99,8325;100,9975;100,9975;102,1625;101,58;99,8325;99,8325;100,9975;99,25;104,4925;101,58;101,58;99,8325;100,9975;99,8325;99,8325;102,1625;99,8325;100,415;100,9975;100,415;108,57;99,8325;103,3275;99,8325;101,58;99,25;99,8325;99,25;;;;;;100,9975;;;;;;;;;;;101,58;;;;;;;;;;;99,25;;;;;;;;;;;99,8325;;;100,415;100,9975
0082-LDZUE;44,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0082-OQIQY;86,748;94,2;92,958;87,99;91,716;94,2;90,474;94,2;94,2;94,2;84,264;65,634;92,958;90,474;91,716;90,474;91,716;90,474;94,2;94,2;83,022;91,716;;94,2;;;;;;;;;;;92,958;;;;;;;;;;;90,474;;;;;;;;;;;89,232;;;;;;;;;;;74,328;;;91,716;92,958
0083-PIVIK;84,9255;84,9255;88,601;81,25;92,2765;84,9255;95,952;81,25;84,9255;84,9255;84,9255;88,601;92,2765;88,601;99,6275;88,601;81,25;88,601;92,2765;81,25;88,601;110,654;81,25;81,25;81,25;81,25;81,25;99,6275;88,601;81,25;88,601;81,25;95,952;84,9255;84,9255;81,25;81,25;95,952;95,952;81,25;81,25;84,9255;99,6275;88,601;84,9255;92,2765;81,25;81,25;84,9255;84,9255;81,25;84,9255;84,9255;81,25;81,25;92,2765;81,25;88,601;114,3295;84,9255;81,25;;;;;;;84,9255;;;84,9255;81,25
0089-IIQKO;96,0305;98,6435;93,4175;93,4175;97,337;98,6435;93,4175;96,0305;93,4175;98,6435;99,95;94,724;99,95;92,111;99,95;94,724;99,95;99,95;99,95;99,95;90,8045;98,6435;92,111;99,95;93,4175;94,724;92,111;98,6435;99,95;92,111;97,337;99,95;98,6435;;93,4175;;;;;;;;;;;98,6435;;;;;;;;;;;92,111;;;;;;;;;;;99,95;;;94,724;99,95
0093-EXYQL;91,782;91,55;91,782;91,898;92,014;91,55;91,898;91,782;91,666;92,71;91,666;91,782;91,55;91,898;91,782;91,666;92,014;92,13;91,898;91,55;92,014;91,898;92,362;91,55;91,55;92,478;91,55;91,666;91,782;91,782;91,898;91,666;91,55;91,666;91,55;;;;;;;;;;;92,71;;;;;;;;;;;91,666;;;;;;;;;;;91,782;;;91,55;92,362
0093-XWZFY;95,911;104,5;103,0685;103,0685;104,5;103,0685;100,2055;104,5;104,5;103,0685;104,5;103,0685;98,774;103,0685;104,5;104,5;94,4795;101,637;95,911;103,0685;103,0685;104,5;90,185;95,911;104,5;104,5;97,3425;98,774;103,0685;91,6165;103,0685;100,2055;101,637;91,6165;100,2055;;;;;;;;;;;103,0685;;;;;;;;;;;103,0685;;;;;;;;;;;104,5;;;104,5;91,6165
0094-OIFMO;106,295;95;107,801;;;;;;;;;;96,506;;;;;;;;;;;96,506;;;;;;;;;;;113,072;;;;;;;;;;;96,506;;;;;;;;;;;107,801;;;;;;;;;;;99,518;;;105,542;95,753
0096-BXERS;50,599;51,097;;;;;;;;;;;54,583;;;;;;;;;;;50,7235;;;;;;;;;;;51,595;;;;;;;;;;;55,9525;;;;;;;;;;;;;;;;;;;;;;;;;;
0096-FCPUF;62,1725;60,776;63,569;64,5;64,5;64,5;63,1035;64,0345;60,776;63,569;60,3105;64,0345;63,1035;61,707;62,638;63,569;63,1035;60,776;62,1725;63,1035;64,0345;59,3795;63,569;62,1725;;;;;;;;;;;64,5;;;;;;;;;;;64,0345;;;;;;;;;;;62,638;;;;;;;;;;;64,5;;;64,5;63,1035
0098-BOWSO;19,82;19,46;20,12;19,4;19,4;19,4;19,4;19,4;19,76;19,46;19,58;19,7;19,58;19,76;19,64;19,46;19,7;19,7;19,46;19,46;;;;19,46;;;;;;;;;;;19,82;;;;;;;;;;;19,4;;;;;;;;;;;19,88;;;;;;;;;;;19,52;;;20,24;19,82
0100-DUVFC;103,718;102,636;104,5295;104,8;104,8;104,259;103,9885;104,8;104,8;103,9885;103,9885;104,5295;104,259;104,259;104,8;104,5295;104,8;104,8;104,8;104,5295;104,8;104,8;104,8;103,718;104,8;104,259;104,8;104,259;103,718;104,5295;104,5295;104,259;104,8;104,5295;104,8;103,9885;103,9885;104,8;104,8;104,5295;103,9885;104,259;103,718;104,8;104,8;104,8;104,8;102,9065;104,8;104,8;104,259;103,177;104,8;104,8;104,5295;104,259;104,8;104,259;104,8;103,718;104,5295;104,5295;104,5295;104,8;104,5295;104,259;104,8;104,5295;;;104,5295;103,718
0103-CSITQ;109,569;109,569;109,738;109,4;109,738;109,569;109,738;109,738;109,738;109,907;109,738;109,4;110,414;109,4;109,4;110,414;109,569;109,738;110,245;109,738;109,907;109,4;109,569;109,4;109,4;110,076;109,4;109,4;109,738;109,4;109,4;109,907;110,414;109,4;109,569;109,569;109,4;109,907;110,076;109,738;110,414;109,4;109,4;109,569;109,569;110,076;109,4;109,569;109,569;109,569;109,4;109,4;109,907;;;;110,245;;;;;;;;;;;109,569;;;109,4;110,414
0104-PPXDV;49,1345;49,523;50,3;48,746;50,3;50,3;49,9115;49,9115;49,9115;50,3;49,523;50,3;49,9115;47,5805;50,3;49,523;47,969;49,9115;49,9115;49,523;49,9115;48,3575;49,9115;49,9115;50,3;49,9115;50,3;50,3;50,3;49,9115;50,3;48,3575;50,3;50,3;49,9115;49,523;49,9115;48,746;49,9115;50,3;49,9115;50,3;49,1345;48,746;49,1345;49,9115;49,1345;49,1345;50,3;47,969;50,3;49,1345;49,9115;50,3;;;49,523;;;;;;;;;;;47,969;;;49,1345;49,1345
0106-GHRQR;83,249;79,764;72,794;71,4;76,279;76,976;74,885;72,097;;;;;71,4;;;;;;;;;;;74,885;;;;;;;;;;;73,491;;;;;;;;;;;71,4;;;;;;;;;;;72,794;;;;;;;;;;;86,734;;;76,976;76,976
0106-UGRDO;116;116;117,7885;121,3655;119,577;123,154;117,7885;116;117,7885;117,7885;117,7885;116;121,3655;121,3655;116;123,154;117,7885;119,577;121,3655;121,3655;123,154;121,3655;123,154;117,7885;116;116;116;116;116;117,7885;121,3655;121,3655;119,577;119,577;116;121,3655;117,7885;117,7885;116;117,7885;117,7885;116;117,7885;116;119,577;119,577;119,577;116;116;117,7885;119,577;116;116;117,7885;117,7885;117,7885;119,577;117,7885;116;132,0965;130,308;117,7885;116;116;116;117,7885;;116;;;117,7885;117,7885
0107-WESLM;19,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0107-YHINA;99,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0111-KLBQG;93,95;88,152;93,95;88,152;91,051;86,7025;88,152;89,6015;82,354;92,5005;83,8035;93,95;93,95;88,152;88,152;86,7025;80,9045;93,95;80,9045;92,5005;89,6015;86,7025;92,5005;93,95;93,95;93,95;;;;;;;;;92,5005;;;;;;;;;;;86,7025;;;;;;;;;;;88,152;;;;;;;;;;;86,7025;;;85,253;93,95
0112-QAWRZ;90,694;90,164;90,588;90,694;90,376;89,74;89,74;90,8;;;;;90,164;;;;;;;;;;;90,694;;;;;;;;;;;90,588;;;;;;;;;;;90,694;;;;;;;;;;;87,938;;;;;;;;;;;90,058;;;90,164;89,104
0112-QWPNC;84,35;82,874;80,66;81,398;77,708;83,612;84,35;82,874;84,35;84,35;84,35;81,398;83,612;81,398;80,66;82,874;84,35;83,612;83,612;81,398;82,136;83,612;82,136;82,136;83,612;84,35;84,35;82,136;84,35;82,874;82,874;84,35;83,612;82,136;84,35;83,612;79,184;82,874;81,398;82,874;79,922;84,35;80,66;83,612;;83,612;;;;;;;;;;;82,136;;;;;;;;;;;84,35;;;83,612;84,35
0114-IGABW;58,25;58,25;58,3515;58,3515;58,3515;58,453;58,3515;58,3515;58,25;58,656;58,3515;58,25;58,453;58,25;58,9605;58,25;58,453;58,3515;58,25;58,25;58,453;58,25;58,5545;58,25;58,3515;58,25;58,25;58,25;58,453;58,25;58,3515;58,25;58,25;58,25;58,859;58,25;58,25;58,25;58,25;58,9605;58,25;58,3515;58,25;58,453;58,859;58,3515;58,5545;58,3515;58,7575;58,3515;58,5545;58,859;58,3515;58,25;58,25;58,25;58,453;58,656;58,3515;58,25;58,5545;58,25;58,25;58,453;58,25;58,5545;58,25;58,859;58,453;;58,3515;58,25
0114-PEGZZ;110,4405;113,331;112,3675;107,55;108,5135;107,55;108,5135;110,4405;109,477;109,477;114,2945;107,55;107,55;113,331;108,5135;114,2945;109,477;119,112;109,477;109,477;109,477;114,2945;112,3675;109,477;107,55;108,5135;108,5135;;;;;;;;109,477;;;;;;;;;;;111,404;;;;;;;;;;;116,2215;;;;;;;;;;;108,5135;;;110,4405;108,5135
